Size of Data  (KB),Server Data Size,Server Data Size (KB),Time to Send,Time to Receive,Processing Time,Topology,
3,4684,4.57421875,54,24,78,,
3,8570,8.369140625,62,23,85,,
3,12460,12.16796875,75,37,112,,
3,16340,15.95703125,67,28,95,,
3,20234,19.75976563,78,32,110,,
3,24104,23.5390625,71,31,102,,
3,27984,27.328125,66,19,85,,
3,31856,31.109375,79,33,112,,
3,35726,34.88867188,73,45,118,,
3,39604,38.67578125,65,38,103,,
3,43460,42.44140625,65,25,90,,
3,47324,46.21484375,65,30,95,,
3,51192,49.9921875,59,34,93,,
3,55070,53.77929688,56,19,75,,
3,58932,57.55078125,65,27,92,,
3,62806,61.33398438,61,24,85,,
3,66694,65.13085938,63,26,89,BAn10m2 (iteration 1),
3,4686,4.576171875,46,20,66,,
3,8572,8.37109375,44,16,60,,
3,12444,12.15234375,74,25,99,,
3,16312,15.9296875,63,25,88,,
3,20170,19.69726563,69,32,101,,
3,24054,23.49023438,85,36,121,,
3,27932,27.27734375,64,19,83,,
3,31796,31.05078125,77,27,104,,
3,35670,34.83398438,58,23,81,,
3,39540,38.61328125,66,24,90,,
3,43424,42.40625,57,18,75,,
3,47308,46.19921875,74,32,106,,
3,51178,49.97851563,68,39,107,,
3,55054,53.76367188,69,41,110,,
3,58928,57.546875,75,34,109,,
3,62798,61.32617188,65,28,93,,
3,66662,65.09960938,58,18,76,BAn10m2 (iteration 2),
3,4688,4.578125,59,27,86,,
3,8574,8.373046875,66,27,93,,
3,12456,12.1640625,70,36,106,,
3,16332,15.94921875,66,29,95,,
3,20200,19.7265625,60,37,97,,
3,24076,23.51171875,68,29,97,,
3,27958,27.30273438,55,21,76,,
3,31844,31.09765625,77,29,106,,
3,35708,34.87109375,72,31,103,,
3,39588,38.66015625,65,37,102,,
3,43466,42.44726563,51,28,79,,
3,47346,46.23632813,63,24,87,,
3,51226,50.02539063,62,26,88,,
3,55110,53.81835938,57,26,83,,
3,59000,57.6171875,72,45,117,,
3,62870,61.39648438,83,35,118,,
3,66748,65.18359375,73,34,107,BAn10m2 (iteration 3),
3,4690,4.580078125,57,27,84,,
3,8576,8.375,57,28,85,,
3,12454,12.16210938,59,27,86,,
3,16332,15.94921875,63,30,93,,
3,20214,19.74023438,63,37,100,,
3,24092,23.52734375,52,22,74,,
3,27972,27.31640625,70,21,91,,
3,31844,31.09765625,56,24,80,,
3,35718,34.88085938,59,24,83,,
3,39596,38.66796875,63,24,87,,
3,43476,42.45703125,55,29,84,,
3,47348,46.23828125,59,19,78,,
3,51224,50.0234375,79,31,110,,
3,55102,53.81054688,80,38,118,,
3,58964,57.58203125,84,36,120,,
3,62848,61.375,57,30,87,,
3,66742,65.17773438,72,28,100,BAn10m2 (iteration 4),
3,4686,4.576171875,59,24,83,,
3,8572,8.37109375,87,52,139,,
3,12448,12.15625,51,26,77,,
3,16318,15.93554688,57,34,91,,
3,20202,19.72851563,52,18,70,,
3,24090,23.52539063,67,46,113,,
3,27976,27.3203125,72,45,117,,
3,31848,31.1015625,79,34,113,,
3,35736,34.8984375,81,37,118,,
3,39594,38.66601563,90,36,126,,
3,43462,42.44335938,97,46,143,,
3,47356,46.24609375,87,34,121,,
3,51234,50.03320313,67,23,90,,
3,55110,53.81835938,58,23,81,,
3,58988,57.60546875,64,32,96,,
3,62858,61.38476563,50,28,78,,
3,66736,65.171875,53,19,72,BAn10m2 (iteration 5),
3,4682,4.572265625,49,23,72,,
3,8568,8.3671875,57,24,81,,
3,12448,12.15625,60,25,85,,
3,16324,15.94140625,55,24,79,,
3,20200,19.7265625,46,22,68,,
3,24088,23.5234375,53,25,78,,
3,27964,27.30859375,61,24,85,,
3,31832,31.0859375,64,39,103,,
3,35712,34.875,63,31,94,,
3,39600,38.671875,61,16,77,,
3,43478,42.45898438,64,35,99,,
3,47346,46.23632813,72,29,101,,
3,51226,50.02539063,91,33,124,,
3,55100,53.80859375,78,34,112,,
3,58982,57.59960938,75,32,107,,
3,62860,61.38671875,72,32,104,,
3,66738,65.17382813,61,24,85,,
3,70614,68.95898438,60,21,81,,
3,74492,72.74609375,70,32,102,,
3,78358,76.52148438,76,31,107,,
3,82220,80.29296875,60,24,84,,
3,86086,84.06835938,63,32,95,,
3,89970,87.86132813,68,18,86,,
3,93862,91.66210938,53,17,70,BAn10m3 (iteration 1),
3,4688,4.578125,52,23,75,,
3,8572,8.37109375,59,24,83,,
3,12452,12.16015625,56,26,82,,
3,16334,15.95117188,62,29,91,,
3,20224,19.75,75,39,114,,
3,24094,23.52929688,69,28,97,,
3,27968,27.3125,71,29,100,,
3,31854,31.10742188,44,10,54,,
3,35738,34.90039063,68,44,112,,
3,39608,38.6796875,68,39,107,,
3,43498,42.47851563,62,27,89,,
3,47374,46.26367188,77,35,112,,
3,51234,50.03320313,84,51,135,,
3,55110,53.81835938,58,19,77,,
3,58984,57.6015625,79,34,113,,
3,62874,61.40039063,78,28,106,,
3,66750,65.18554688,77,36,113,,
3,70620,68.96484375,92,32,124,,
3,74488,72.7421875,80,33,113,,
3,78364,76.52734375,62,20,82,,
3,82238,80.31054688,71,28,99,,
3,86120,84.1015625,70,28,98,,
3,89984,87.875,71,44,115,,
3,93862,91.66210938,70,31,101,BAn10m3 (iteration 2),95.29850746
3,4686,4.576171875,59,24,83,,
3,8572,8.37109375,61,26,87,,
3,12452,12.16015625,52,21,73,,
3,16326,15.94335938,70,41,111,,
3,20206,19.73242188,54,32,86,,
3,24090,23.52539063,70,32,102,,
3,27972,27.31640625,87,36,123,,
3,31838,31.09179688,91,35,126,,
3,35722,34.88476563,75,31,106,,
3,39604,38.67578125,81,38,119,,
3,43472,42.453125,75,35,110,,
3,47336,46.2265625,75,32,107,,
3,51208,50.0078125,66,28,94,,
3,55096,53.8046875,56,29,85,,
3,58962,57.58007813,63,37,100,,
3,62840,61.3671875,59,31,90,,
3,66702,65.13867188,59,31,90,,
3,70556,68.90234375,77,25,102,,
3,74436,72.69140625,66,28,94,,
3,78316,76.48046875,63,40,103,,
3,82186,80.25976563,64,37,101,,
3,86064,84.046875,72,17,89,,
3,89938,87.83007813,54,31,85,,
3,93800,91.6015625,67,28,95,BAn10m3 (iteration 3),
3,4690,4.580078125,51,24,75,,
3,8576,8.375,58,10,68,,
3,12456,12.1640625,59,24,83,,
3,16328,15.9453125,67,30,97,,
3,20210,19.73632813,56,23,79,,
3,24082,23.51757813,61,28,89,,
3,27958,27.30273438,59,10,69,,
3,31838,31.09179688,60,35,95,,
3,35702,34.86523438,60,36,96,,
3,39574,38.64648438,62,25,87,,
3,43450,42.43164063,67,24,91,,
3,47322,46.21289063,68,30,98,,
3,51198,49.99804688,68,28,96,,
3,55078,53.78710938,65,27,92,,
3,58952,57.5703125,57,32,89,,
3,62828,61.35546875,79,32,111,,
3,66702,65.13867188,65,29,94,,
3,70580,68.92578125,59,33,92,,
3,74440,72.6953125,65,37,102,,
3,78318,76.48242188,52,18,70,,
3,82186,80.25976563,55,20,75,,
3,86056,84.0390625,84,35,119,,
3,89926,87.81835938,85,38,123,,
3,93800,91.6015625,79,35,114,BAn10m3 (iteration 4),
3,4678,4.568359375,54,23,77,,
3,8564,8.36328125,54,17,71,,
3,12442,12.15039063,58,20,78,,
3,16314,15.93164063,59,11,70,,
3,20188,19.71484375,58,33,91,,
3,24054,23.49023438,70,36,106,,
3,27934,27.27929688,64,26,90,,
3,31806,31.06054688,59,25,84,,
3,35684,34.84765625,77,40,117,,
3,39566,38.63867188,61,25,86,,
3,43452,42.43359375,60,35,95,,
3,47326,46.21679688,50,30,80,,
3,51198,49.99804688,72,30,102,,
3,55062,53.77148438,66,26,92,,
3,58944,57.5625,67,17,84,,
3,62828,61.35546875,87,37,124,,
3,66708,65.14453125,79,24,103,,
3,70592,68.9375,82,31,113,,
3,74466,72.72070313,78,33,111,,
3,78336,76.5,56,30,86,,
3,82226,80.29882813,66,27,93,,
3,86108,84.08984375,54,31,85,,
3,89982,87.87304688,53,23,76,,
3,93864,91.6640625,66,26,92,BAn10m3 (iteration 5),
3,4688,4.578125,80,34,114,,
3,8574,8.373046875,87,28,115,,
3,12452,12.16015625,86,40,126,,
3,16318,15.93554688,86,39,125,,
3,20198,19.72460938,87,34,121,,
3,24084,23.51953125,67,24,91,,
3,27968,27.3125,70,21,91,,
3,31840,31.09375,73,29,102,,
3,35724,34.88671875,77,28,105,,
3,39604,38.67578125,85,33,118,,
3,43460,42.44140625,61,32,93,,
3,47336,46.2265625,66,25,91,,
3,51222,50.02148438,73,28,101,,
3,55094,53.80273438,90,37,127,,
3,58966,57.58398438,92,40,132,,
3,62850,61.37695313,111,41,152,,
3,66728,65.1640625,101,39,140,,
3,70600,68.9453125,80,27,107,,
3,74476,72.73046875,68,19,87,,
3,78346,76.50976563,77,27,104,,
3,82230,80.30273438,77,25,102,,
3,86098,84.08007813,86,31,117,,
3,89984,87.875,84,29,113,,
3,93868,91.66796875,85,37,122,,
3,97738,95.44726563,105,51,156,,
3,101612,99.23046875,89,38,127,,
3,105492,103.0195313,93,33,126,,
3,109354,106.7910156,113,40,153,,
3,113228,110.5742188,113,40,153,,
3,117098,114.3535156,125,49,174,,
3,120978,118.1425781,122,45,167,,
3,124850,121.9238281,118,49,167,,
3,128718,125.7011719,102,41,143,,
3,132584,129.4765625,85,34,119,,
3,136462,133.2636719,79,33,112,,
3,140334,137.0449219,96,44,140,,
3,144216,140.8359375,120,47,167,,
3,148098,144.6269531,119,49,168,,
3,151972,148.4101563,88,29,117,,
3,155852,152.1992188,97,41,138,,
3,159720,155.9765625,94,55,149,,
3,163586,159.7519531,84,32,116,BAn10m7 (iteration 1),
3,4686,4.576171875,53,20,73,,
3,8572,8.37109375,68,26,94,,
3,12452,12.16015625,72,34,106,,
3,16318,15.93554688,62,24,86,,
3,20194,19.72070313,66,20,86,,
3,24080,23.515625,90,41,131,,
3,27964,27.30859375,102,41,143,,
3,31830,31.08398438,89,37,126,,
3,35700,34.86328125,90,33,123,,
3,39592,38.6640625,101,22,123,,
3,43468,42.44921875,195,17,212,,
